mangaId,title,genres
1,Berserk,"Action, Adventure, Award Winning, Drama, Fantasy, Horror, Supernatural, Gore, Military, Mythology, Psychological"
2,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,"Action, Adventure, Mystery, Supernatural, Historical"
3,Vagabond,"Action, Adventure, Award Winning, Historical, Samurai"
4,One Piece,"Action, Adventure, Fantasy"
5,Monster,"Award Winning, Drama, Mystery, Adult Cast, Psychological"
6,Slam Dunk,"Award Winning, Sports, School, Team Sports"
7,Fullmetal Alchemist,"Action, Adventure, Award Winning, Drama, Fantasy, Military"
8,Vinland Saga,"Action, Adventure, Award Winning, Drama, Historical"
9,Grand Blue,Comedy
10,Oyasumi Punpun,"Drama, Slice of Life, Psychological"
11,Kingdom,"Action, Award Winning, Historical, Military"
12,Houseki no Kuni,"Action, Drama, Fantasy, Anthropomorphic"
13,20th Century Boys,"Award Winning, Drama, Mystery, Sci-Fi, Historical, Psychological"
14,Ashita no Joe,"Drama, Slice of Life, Sports, Combat Sports"
15,Monogatari Series: First Season,"Action, Comedy, Mystery, Romance, Supernatural"
16,Haikyuu!!,"Award Winning, Sports, School, Team Sports"
17,Real,"Drama, Sports, Psychological, Team Sports"
18,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"Award Winning, Comedy, Romantic Subtext, School"
19,GTO,"Action, Award Winning, Comedy, Drama, Ecchi, Delinquents, School, Workplace"
20,Yotsuba to!,"Award Winning, Comedy, Slice of Life, Childcare, Iyashikei"
21,3-gatsu no Lion,"Award Winning, Drama, Slice of Life, Childcare, Iyashikei, Strategy Game"
22,Koe no Katachi,"Award Winning, Drama, Romantic Subtext"
23,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,"Drama, Fantasy, Mystery, Supernatural"
24,Akatsuki no Yona,"Action, Adventure, Fantasy, Romance"
25,Kaze no Tani no Nausicaä,"Action, Adventure, Award Winning, Fantasy, Supernatural"
26,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",Drama
27,Nana,"Award Winning, Drama, Romance, Adult Cast, Love Polygon, Music"
28,Uchuu Kyoudai,"Award Winning, Drama, Sci-Fi, Adult Cast, Space, Workplace"
29,Made in Abyss,"Adventure, Drama, Fantasy, Sci-Fi"
30,Chainsaw Man,"Action, Award Winning, Supernatural, Gore"
31,One Punch-Man,"Action, Comedy, Parody, Super Power"
32,Hunter x Hunter,"Action, Adventure, Fantasy"
33,Mushishi,"Award Winning, Fantasy, Mystery, Supernatural, Adult Cast, Historical, Iyashikei"
34,Hajime no Ippo,"Award Winning, Sports, Combat Sports"
35,Kokou no Hito,"Drama, Sports, Psychological"
36,Death Note,"Supernatural, Suspense, Psychological"
37,Shoujo Shuumatsu Ryokou,"Adventure, Award Winning, Slice of Life, Iyashikei"
38,Sayonara Eri,Drama
39,Beck,"Award Winning, Drama, Romance, Music"
40,Yokohama Kaidashi Kikou,"Award Winning, Drama, Sci-Fi, Slice of Life, Iyashikei"
41,Akira,"Action, Award Winning, Sci-Fi, Gore"
42,Dorohedoro,"Action, Comedy, Fantasy, Horror, Gore"
43,Kono Oto Tomare!,"Drama, Performing Arts, School"
44,"""Oshi no Ko""","Drama, Supernatural, Reincarnation, Showbiz"
45,Yagate Kimi ni Naru,"Drama, Girls Love, School"
46,Kozure Ookami,"Action, Historical, Samurai"
47,Natsume Yuujinchou,"Drama, Supernatural, Iyashikei"
48,ReLIFE,"Comedy, Drama, Romance, Slice of Life, School"
49,Blue Period,"Award Winning, Drama, School, Visual Arts"
50,Golden Kamuy,"Action, Adventure, Award Winning, Historical"
51,Aria,"Adventure, Comedy, Drama, Sci-Fi, Slice of Life, Iyashikei"
52,Gintama,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai"
53,Pluto,"Action, Award Winning, Mystery, Sci-Fi, Suspense, Mecha, Psychological"
54,Banana Fish,"Action, Adventure, Drama, Delinquents"
55,JoJo no Kimyou na Bouken Part 9: The JoJoLands,"Action, Adventure, Supernatural"
56,"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka",Romance
57,Mob Psycho 100,"Action, Award Winning, Comedy, Supernatural, Super Power"
58,Bungou Stray Dogs: Beast,"Action, Supernatural"
59,Sousou no Frieren,"Adventure, Award Winning, Drama, Fantasy"
60,Kaoru Hana wa Rin to Saku,"Drama, Romance, School"
61,Hi no Tori (1967),"Drama, Fantasy, Romance, Sci-Fi, Supernatural, Historical, Psychological, Space"
